Fri, 22 Jul 2022 19:00:33-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:00:43-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:00:43-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:00:53-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:00:53-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:01:03-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:01:03-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:01:13-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:01:13-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:01:23-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:01:23-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:01:33-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:01:33-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:01:43-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:01:43-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:01:53-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:01:53-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:02:03-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:02:03-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:02:13-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:02:13-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:02:23-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:02:23-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:02:44-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:02:44-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:02:54-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:02:54-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:03:04-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:03:04-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:03:14-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:03:14-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:03:24-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:03:24-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:03:34-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:03:34-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:03:44-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:03:44-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:03:54-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:03:54-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:04:04-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:04:04-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:04:14-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:04:14-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:04:34-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:04:34-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:04:44-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:04:44-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:04:54-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:04:54-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:05:04-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:05:04-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:05:14-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:05:14-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:05:24-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:05:24-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:05:34-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:05:34-root-tcpservser.py-[line:106]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:05:48-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:05:48-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:05:58-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:05:58-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:06:16-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:06:16-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:06:26-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:06:26-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:06:36-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:06:36-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:06:46-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:06:46-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:07:01-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:07:01-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:07:12-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:07:12-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:07:22-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:07:22-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:07:32-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:07:32-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:07:42-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:07:42-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
Fri, 22 Jul 2022 19:07:52-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 19:07:52-root-tcpservser.py-[line:107]-INFO-[日志信息]: (None, None)
